target file name	calibration lamp file name	flat name
betaLyr_alpy_26072022_0250	betaLyr_alpy_lamp_26072022_0250	''
gammaCygni_alby_26072022_0405	gammaCygni_alby_lamp_26072022_0405	''
giove_alpy_26072022_0116	giove_lamp_alpy_26072022_0116	giove_flat_alpy_26072022
LunaBianca_Alpy_26072022_0528	''	''
LunaNera_Alpy_26072022_0522	LunaNera_Alpy_Lamp_26072022_0522	''
LunaNera_Image_26072022_0525	''	''
m57_alpy_26072022_0201	m57_alpy_lamp_26072022_0201	''
Marte_alpy_26072022_0505	Marte_alpy_lamp_26072022_0505	''
pCygni_alpy_26072022_0135	pCygni_alpy_lamp_26072022_0135	''
saturno_alpy_26072022_0440	saturno_alpy_lamp_26072022_0440	''
saturno_image_26072022_0440	''	''
vega_alby_26072022_0327	vega_alby_lamp_26072022_0327	''
wr137_alpy_26072022_0427	wr137_alpy_lamp_26072022_0427	''